"region","city","population","adjusted_homicide_rate","homicide_to_injury_ratio","homicides","grave_injuries","unadjusted_homicide_rate","multiplier","multiplier_lwr","multiplier_upr","adjusted_homicide_rate_upr","adjusted_homicide_rate_lwr"
"Иркутская область","Иркутск",623424,12.22,0.34,280,538,22.46,0.54,0.45041669516088,0.637915391444999,14.33,10.12
"Хабаровский край","Хабаровск",611160,15.14,0.44,307,392,25.12,0.6,0.49902701812861,0.70676113703439,17.75,12.54
"Томская область","Томск",590690,12.22,0.42,231,319,19.55,0.62,0.517275848060509,0.732606558872373,14.32,10.11
"Оренбургская область","Оренбург",578014,9.52,0.4,196,300,16.95,0.56,0.465090998927112,0.658698289440621,11.16,7.88
"Тульская область","Тула",551642,6.73,0.47,126,142,11.42,0.59,0.487803922308048,0.690866109961365,7.89,5.57
"Рязанская область","Рязань",534762,4.86,0.43,88,117,8.23,0.59,0.488316518930744,0.691592089434896,5.69,4.02
"Астраханская область","Астрахань",531719,6.75,0.4,136,202,12.79,0.53,0.436788668632399,0.618614313196742,7.91,5.59
"Республика Татарстан","Набережные Челны",526750,7.82,0.42,110,155,10.44,0.75,0.620105446898559,0.878241888334707,9.17,6.47
"Пензенская область","Пенза",524632,4.79,0.34,89,174,8.48,0.57,0.467985631196892,0.662797894311975,5.62,3.97
"Кировская область","Киров",523119,8.11,0.38,129,212,12.33,0.66,0.544471691144436,0.771123441290948,9.51,6.71
"Липецкая область","Липецк",510020,7.58,0.5,137,138,13.43,0.56,0.467105788913439,0.66155179277801,8.88,6.27
"Чувашская Республика","Чебоксары",491306,6.78,0.44,103,129,10.48,0.65,0.535380574671413,0.758247890304161,7.95,5.61
"Краснодарский край","Сочи",480215,8.94,0.42,129,181,13.43,0.67,0.551079331156726,0.780481698455268,10.48,7.4
"Калининградская область","Калининград",459560,6.94,0.5,115,116,12.51,0.55,0.459219427522781,0.650382510273019,8.14,5.74
"Курская область","Курск",443212,2.43,0.44,38,48,4.29,0.57,0.468896751425396,0.664088294120457,2.85,2.01
"Московская область","Балашиха",440513,8.75,0.52,137,125,15.55,0.56,0.465724330467814,0.6595952631584,10.26,7.24
"Республика Бурятия","Улан-Удэ",430550,23.59,0.42,271,371,31.47,0.75,0.620516537132635,0.878824106511805,27.66,19.53
"Ставропольский край","Ставрополь",429766,6.65,0.42,85,119,9.89,0.67,0.556478990781012,0.788129119210356,7.79,5.5
"Брянская область","Брянск",424582,7.82,0.4,117,173,13.78,0.57,0.469945515516704,0.665573635944556,9.17,6.48
"Челябинская область","Магнитогорск",417563,13.73,0.4,194,289,23.23,0.59,0.489087468958576,0.692683969230006,16.09,11.36
"Тверская область","Тверь",416442,7.25,0.47,96,107,11.53,0.63,0.520290527881095,0.736876184484377,8.5,6
"Ивановская область","Иваново",408025,8.25,0.47,113,129,13.85,0.6,0.493206972162763,0.698518332226494,9.67,6.83
"Белгородская область","Белгород",387090,4.75,0.36,50,89,6.46,0.74,0.609119731205879,0.862683057586689,5.57,3.93
"Свердловская область","Нижний Тагил",359450,16,0.38,188,304,26.15,0.61,0.506575867855311,0.717452409094439,18.76,13.25
"Калужская область","Калуга",358400,9.31,0.41,116,169,16.18,0.58,0.476040242837,0.674205465995016,10.91,7.7
